dataset,length,precision,recall,f1,auc,time
normality_1_daphnet.npy,445440,0.12,0.053,0.073,0.532,138.88
normality_1_genesis.npy,32440,0.0,0.0,0.0,0.205,13.88
normality_1_nasa-msl.npy,80427,0.215,0.175,0.193,0.598,32.14
normality_2_1_daphnet_genesis.npy,477880,0.116,0.054,0.074,0.529,163.33
normality_2_2_daphnet_nasa-msl.npy,525867,0.146,0.069,0.094,0.539,197.18
normality_2_3_genesis_nasa-msl.npy,112867,0.163,0.182,0.172,0.584,40.83
normality_3_1_daphnet_genesis_nasa-msl.npy,558307,0.126,0.063,0.084,0.535,223.78
normality_3_2_genesis_nasa-msl_daphnet.npy,558307,0.12,0.06,0.08,0.529,190.31
normality_3_3_nasa-msl_daphnet_genesis.npy,558307,0.12,0.06,0.08,0.532,200.32
